PRED,IMAGE,CONF
GWLT37,090113_1701111740359R02_111,932
1GDP75,090314_1701113874515F02_241,935
1AV845,090105_1701116910785R01_571,941
69R840,090010_1701095692283R02_481,938
5YA458,090107_1701110929189F04_061,936
BR77RR,090014_1701093259722F04_241,909
DMF4174,001315_1701120498333F02_321,890
92BBPP,090014_1701104237293R06_901,917
4KWS35,090111_1701096021405R02_981,941
V58052,090111_1701105441147F03_831,936
5KF223,090005_1701107656223R02_041,926
4SNK34,090111_1701095160267F04_221,927
2LTT13,090111_1701116930810F04_491,933
3AKP15,090103_1701099708378R02_031,940
2MDK66,001215_1701106573695F03_091,934
2CJR86,090110_1701115526928R03_431,950
1XBK34,090014_1701115411403F05_601,944
1YDP63,090003_1701116287067R02_141,936
3GGM66,011016_1701114843001F01_431,936
1SPA12,090012_1701116978777R01_331,920
C218395,090113_1701101777480F04_801,895
LVA1256,001315_1701091351787R03_116,870
3TKK33,090013_1701113212829R04_751,925
LRA3850,090012_1701117014233R02_041,936
3ASP62,001215_1701111492054F02_711,921
427BV1,090010_1701097972125R04_961,882
BD95364,090109_1701116080086F02_451,924
XA645,090109_1701118413141F02_201,928
2ZFA73,090105_1701104940783F02_361,938
LV99469,090106_1701094811705R03_101,908
83B480,090008_1701117628135R02_161,937
J94SRJ,090007_1701102983606R03_291,926
5ANP28,090112_1701092008678R01_781,918
KKV2622,090009_1701091898586R06_541,916
J90125,090013_1701102664635R03_141,862
755D,001115_1701092295110R04_133,897
110895,090012_1701104383535F04_151,937
49BKDV,011016_1701121623297R01_351,937
4CGT68,090114_1701121933750R05_171,943
4GJM34,011116_1701115893025F02_491,931
3AEF78,090007_1701105193976R02_161,938
2HSZ98,001315_1701097923560R03_443,887
1AA76R,090102_1701102344804F03_121,932
5559,090010_1701099889675R02_631,937
3ZEJ35,090108_1701114086843R03_711,942
V29757,090106_1701118103434R04_641,917
3CPX38,090106_1701106267224F02_411,946
2YHM83,090108_1701116806699F03_151,937
112963,090111_1701118811261R04_891,925
2KTV45,090109_1701110851887F02_441,923
3ZPG95,011116_1701112192138F01_201,926
4ENS85,090110_1701094581764R03_271,919
2THX73,090110_1701122157883R04_401,915
4HHV55,090005_1701104652569R02_521,910
3BKX25,090113_1701107746616R04_051,934
6JV417,001315_1701095179200F03_375,916
5PFC89,090114_1701110160600R04_301,917
2VFW48,090009_1701113660728R04_731,920
2JWD36,001315_1701100303193F02_221,911
2ZWS11,090014_1701097721145R06_021,940
3YRR18,090014_1701102262210F05_351,940
54KY77,090109_1701096436616F03_681,920
2KNG86,090113_1701094800980F02_671,941
CAPE2,090109_1701092741582F04_801,884
4KKW58,001315_1701117570610R02_111,888
BNL3204,090113_1701101199916R01_021,829
GMB6959,090107_1701097669821R04_311,933
5RZT69,001215_1701113534557R03_501,949
69787A,090107_1701104300645F03_901,914
4VDR24,090107_1701112443306F03_961,925
W55694,090111_1701114818751R02_421,908
3NEX39,090112_1701109204477R04_221,927
4WAZ69,090013_1701109355993R03_051,934
92496,090108_1701103206570F03_191,922
2GYP10,090107_1701099339554F04_311,921
S55978,001115_1701094335317R04_109,903
2DZL46,090012_1701108750087F03_371,930
4SVC97,001315_1701098967923F03_292,915
3BCB59,090009_1701097030578R03_421,933
1NAT66,090112_1701105004111R02_011,930
2MJP74,090113_1701118013001F01_671,923
1PDM72,001315_1701122042610R03_199,915
W12584,090113_1701097793774R02_481,916
2VCD36,090013_1701106494563R04_121,942
LV80971,090008_1701112075148F04_821,929
3FA669,090012_1701108775375F03_461,940
LDK6145,090004_1701116565993R03_391,907
KWS3179,090114_1701105419339R04_291,920
9VF268,001215_1701114629433R03_051,918
2AM577,090110_1701094945804R03_301,910
475EW5,090111_1701104035475R03_501,918
,090009_1701103831749F05_801,0
5FJ0260,090113_1701111837773R01_501,914
3FFY84,090012_1701097618331R03_411,942
3YCG88,090106_1701117641141F03_181,947
LAL4432,001315_1701102175880F02_290,895
9RS284,090012_1701097658966R02_841,926
4DSC54,090011_1701103106131F04_751,938
98HV61,090314_1701117815770R01_781,903
4185LA,090008_1701102827602F04_061,907
912372TS,090109_1701099498629R02_751,908
IKBJ02,090012_1701119472286R02_271,917
