PRED,IMAGE,CONF
T28681,090013_1701106079673F04_111,928
X32556,090011_1701095312861R03_781,939
1NGD88,090105_1701106896782R02_491,936
1HKM43,011116_1701101132259F02_591,945
4ZSE78,090008_1701095810306F04_451,915
J94SRJ,090007_1701102983060F03_851,943
679MA9,001315_1701094762077R03_480,897
82YG81,090109_1701093047121R03_961,919
5KSG99,090108_1701097661050F03_921,931
2PEF61,090113_1701102838719R02_671,932
4CAF19,090114_1701096957683R04_391,927
X41068,090110_1701109023383F02_531,936
191NY1,090006_1701101186275F03_271,928
BM52619,090007_1701091702187R04_061,914
5CSM38,090110_1701110212288F02_331,932
4NDE58,011116_1701119605445R01_881,926
5CEV29,090108_1701117553851F04_391,928
E63NTH,090013_1701109726141R04_391,933
1RAY12,090111_1701117525488R04_721,930
1DRC58,090013_1701112372571F03_511,933
4LCR88,090105_1701102344516F01_541,936
T24655,011116_1701109327135R02_891,929
5309626,001015_1701100547874F05_391,924
W28683,090111_1701117644795F03_851,948
BJ15107,090011_1701113084822R03_301,911
LZG9133,090106_1701095588012R03_261,899
3MVE44,090314_1701119443375R02_821,937
4AJS94,090110_1701108678179R03_751,931
8VB848,090013_1701118603422R03_251,947
3KHX96,090009_1701121407842F04_461,930
3JZN47,090314_1701096758534F01_001,942
W23743,001315_1701096759590F03_380,913
2LFX17,090107_1701090025742R03_911,933
EN28YF,001315_1701099908210R03_421,878
3HCF26,090109_1701118168806F03_601,910
5HD739,090314_1701097404975R02_671,928
70169A,090004_1701102619927F03_801,880
365BKMBR,011016_1701113427348R01_001,268
KEZ9170,090007_1701102997080R03_321,930
33SP75,090006_1701110831579F04_311,932
4XGH48,090314_1701094920396R01_111,922
6AA655,090109_1701114354070R04_351,936
V95724,090109_1701090357594R04_671,924
LVC5895,011116_1701091763745F02_241,908
3LAS59,090113_1701099522693R03_661,937
5143,090009_1701105213221F04_181,911
5PHL69,090009_1701102799627R04_351,922
11TTT,090109_1701101388845F05_751,509
2FYW44,090108_1701117594549F02_521,929
1HJG85,090012_1701104912272R03_051,941
TRF3137,090113_1701091912702F03_121,893
30167NE,090108_1701093387230F02_241,904
5KMM80,011116_1701119123911R02_761,946
AC73796,090107_1701115524002R03_941,919
5TNF99,090109_1701103426488F02_651,927
2VHR72,090112_1701106892338R03_971,928
V68762,090110_1701115321851F02_141,948
5EDX20,011016_1701094415930R01_281,930
1AE86J,090106_1701097465987F03_701,922
244CJ0,090103_1701099439505F02_011,920
9EM927,090011_1701097357077F04_491,926
J0630,090009_1701113981599F03_101,934
3NEB84,090010_1701117878096F04_971,920
R67960,090106_1701107200061R04_441,932
8RCN025,001315_1701116420307R03_107,885
118HP6,090014_1701102081025R05_691,920
7YMV50,090114_1701115210118F05_601,921
KBA7495,090110_1701098558726R04_481,942
4TPX81,090010_1701103191905F04_241,931
4SCB11,090013_1701104853222F04_781,937
2XNA34,090014_1701119881181R06_411,925
2RVY18,090314_1701094588364F01_921,940
4JEE35,090012_1701099244614F03_601,940
AN07082,090010_1701091243131F03_421,934
8EX474,001215_1701092530339R03_551,919
3NKK26,090111_1701099288433F04_551,941
X32231,090114_1701113065572F05_061,944
3AEF78,090006_1701104171520R04_081,934
2GN245,090010_1701110481482R04_921,915
3PSN16,090111_1701102101179F03_091,899
5BGG29,001115_1701095224333F05_202,920
W51721,090103_1701094063950F02_061,936
3608776,090103_1701104005203F02_171,866
2LYC17,090006_1701104183207R04_151,919
4XJD69,090314_1701092942787R01_351,924
8GW936,001215_1701110804425R03_541,939
3XC144,001215_1701099365398R03_141,934
9MM611,090001_1701099833556F02_901,935
2HFC14,011016_1701098989718R01_311,916
2544TV,090011_1701107934139F04_561,912
3LCF35,001315_1701100381160R03_136,906
4BNH64,090009_1701090919365R04_401,928
BK18350,090106_1701121920152F02_191,903
4XRJ49,090105_1701120296829R01_691,931
K74747,090214_1701112709023R02_291,915
AA45483,090103_1701111741178F03_801,924
2NC384,090112_1701120426647R02_041,924
8ZEF30,090012_1701097030461R02_141,942
1YGR70,090014_1701119090090R04_441,913
4YLV59,090109_1701093542957F04_431,923
2RLF24,090012_1701090728445F03_681,932
NI5740,090012_1701109293702F03_761,929
KXMN12,090112_1701111870207R04_841,914
1VLN75,090111_1701119669894F04_351,913
2AT655,090104_1701119742583F03_751,921
44,090009_1701105096027F06_051,468
4SXT27,090111_1701106729386F02_221,927
AJV7099,090002_1701101170941R02_941,915
269932T,090008_1701104338694R03_241,921
1AXZ49,090214_1701102604314R02_851,929
2NMD23,090113_1701106566582R04_921,928
2HVK78,090007_1701116518281R02_141,938
IC97TE,090009_1701111202955R03_421,908
S94216,090010_1701122352098F02_401,925
4XHA91,090007_1701092185796R04_131,924
BG56520,090008_1701119598046R03_551,936
1WYH40,090110_1701111786671R02_201,926
3NSE85,090008_1701105251266F04_381,942
W50137,011116_1701107960532R01_161,935
1YT179,090013_1701099417259R03_921,924
8240ZC,090102_1701100742132R02_071,932
EV77FV,001315_1701113924683R02_366,857
8YB169,090112_1701103661419R03_331,908
V89024,090111_1701116752426R02_101,937
4906G,090010_1701102627367R03_551,936
X35169,090112_1701104309483F03_201,937
LBS5954,090112_1701113596818R02_631,930
BJ72792,090007_1701096394809R04_511,931
628ZJT,090010_1701090778247R03_011,914
QL523,090014_1701115032067F04_861,908
581ZP6,090012_1701119839559F04_501,933
LAZ5649,090110_1701101020474R04_751,929
W31225,090010_1701096817825R03_261,929
3VYG13,011016_1701103007719F02_781,937
5PVF99,090013_1701121268610F03_121,928
2BDD15,090006_1701111753230R04_281,945
5T2914,090113_1701108802024R03_001,578
V89328,090110_1701120524267F03_081,934
5NVB49,090005_1701101038644F02_551,943
1KEX96,090107_1701091999294F03_591,934
4RZH11,090107_1701094575605R03_521,941
5BAT11,090110_1701107643237R03_581,919
9GE475,090011_1701106543220F03_241,921
4AED97,090111_1701115657510F04_461,928
3951,090108_1701090595294F04_251,937
8990CP,090105_1701121604930R01_481,845
SR66XG,090111_1701121150038R02_631,916
BCS6561,090009_1701106333679R06_621,896
8590WH,090314_1701091836892R01_471,920
1HDK23,011016_1701092341438R01_011,932
K0NEK0,001315_1701097727310F02_358,734
780CL,090110_1701103548553R03_171,925
US38TH,011116_1701103411942R01_091,914
166NV4,090113_1701096493075F02_781,919
3MPN51,090006_1701110075465R03_421,939
80382NA,090103_1701090935169R02_091,911
3MZF70,090014_1701114405762R05_311,924
622VR2,090105_1701111007410F01_261,928
3EGP88,011016_1701120835899F02_741,913
2YWN54,090108_1701092923916R03_931,912
4MN450,090009_1701091453803F04_941,928
1RMJ53,090109_1701111228628F04_831,881
1BCD46,090104_1701110709512F03_371,937
2CEN25,090010_1701101990237R04_781,935
2VPS77,090109_1701104278102R04_191,919
EV160K,090112_1701116820793R02_201,918
4PYC61,090113_1701097977053R04_091,903
MM1807,090005_1701106202870R03_971,871
3HBR89,001215_1701101093944F03_501,936
444ADH,090011_1701119921762R04_561,927
KRR4439,090108_1701109639280R03_681,936
3RNS85,090110_1701103953618R03_911,946
4BYX58,090011_1701115296391F04_161,921
S57117,090111_1701115915622F03_861,906
R76834,090012_1701107336253F04_511,932
6MY458,090107_1701108797231R04_021,927
3VFW65,090107_1701119868455F04_321,936
267PJ1,090011_1701098537055F02_151,905
4MBH57,090105_1701115027696R02_081,934
225SE9,090107_1701115575688R04_541,905
2BAV54,090009_1701110043464R04_781,907
2GLZ58,090002_1701116375354R02_981,920
1YHH88,090106_1701102922163R04_901,943
3PRP91,090009_1701092091833F04_721,930
3DCD53,090013_1701120199110R02_151,923
AB55683,090008_1701113724188F02_171,852
862411,090111_1701102033054R04_501,898
ICDN75,011116_1701091010104R02_221,930
9650VH,090009_1701105503533F05_981,926
LVC1955,090113_1701116142313R02_051,922
3EZW24,090011_1701117170023R02_891,935
W74618,090004_1701094910785F02_031,908
LV85551,090110_1701093474591R02_781,916
18623LY,090105_1701102950353R01_081,890
4EYG15,090114_1701103103328F05_041,938
1TLT15,090214_1701114090082R03_091,925
9072FG,090109_1701120282617R04_661,897
EV95LJ,090013_1701090506588R02_501,925
1AH89Z,090107_1701113139203F03_711,931
A870595,090102_1701111608882F02_501,708
LGA8482,090102_1701119142359R03_551,925
KBH7824,090106_1701119568159F04_071,925
T51699,090112_1701111776143F02_441,894
9CD611,001015_1701091404002F05_461,942
59CV85,090114_1701109128465F05_721,884
712ZD8,090214_1701101184900F02_451,945
LCF4480,090008_1701119409895R04_001,944
2MMT58,090107_1701100158075R04_851,944
3HJ385,090110_1701111583953F04_961,913
1LXJ51,090113_1701099846684F04_281,940
CJCN587,090101_1701101982081F03_221,930
67AUHK,001215_1701097716203R03_231,916
1AD74L,090005_1701120354254F02_041,931
1GGT49,001315_1701097632110F03_314,911
H62638,090113_1701091002660F01_911,927
883YZP,090104_1701107319381R02_741,748
3ZRW86,011016_1701108185023F01_981,941
1JR293,090112_1701112930312F01_521,897
TCH231,090012_1701117090427R02_181,903
4DEK38,090107_1701098493135F03_391,938
SCM4762,090010_1701107000230F04_771,920
9HF851,090314_1701095273877F02_151,904
NE51PG,090013_1701119877655F04_511,879
943AG8,090110_1701115890046R03_431,932
4DSE19,090113_1701102711107F03_161,936
X22901,090111_1701106184342R02_671,933
3LKY73,090109_1701097007066R03_001,919
6HK187,090012_1701094882406R02_691,930
1JRG68,090010_1701116312341F03_181,927
133GM1,090009_1701108057326F05_281,935
4NZY27,090006_1701104888550R02_381,928
3ZPK59,090014_1701116347068R05_561,935
4CEF81,090010_1701093270891R04_201,938
17S150,011116_1701094119124R02_261,933
BA12282,090008_1701098838503R03_881,921
3DCD53,090013_1701120198190F02_971,943
3PG917,090012_1701091531658R03_841,933
KHV4913,090012_1701108941718F04_201,908
4RLT14,090105_1701105625363F02_741,936
W76897,090110_1701101350780R03_151,942
3RWH38,090014_1701091567375R05_441,919
5VD356,090012_1701106261373F02_851,942
8045LT,090110_1701093262102F04_121,894
V42660,090013_1701097618535F03_591,917
815PF5,090114_1701095520289F04_991,903
778GH3,001315_1701105166843F02_343,894
W58390,090102_1701096326104F02_081,922
3AWK11,001315_1701102927557R02_440,909
1XCB64,090014_1701106434216F05_051,935
4JW578,090107_1701092096325R03_381,925
LCF25,090014_1701109836088R05_441,920
SL0TEGE,090014_1701102798780R05_241,929
445R9PBE,001315_1701105786773F02_317,258
3NYP28,090113_1701122164914F04_251,937
515SY4,090112_1701113439243F02_121,933
4ZFV47,090009_1701103729575R05_851,947
1LX735,090106_1701120819968R03_011,925
4AKJ14,090108_1701106479807F04_501,931
3PZY76,011116_1701098298122R02_371,930
S66631,090112_1701099757609F01_311,938
ELF98,090108_1701120953268F04_401,926
1RRC39,090010_1701116299694F03_111,931
4YD520,090113_1701102123696F02_301,910
LV97885,090109_1701111931431F05_371,915
3HHM97,001315_1701118325490F02_220,900
BH11737,090102_1701113608166F03_161,890
W42203,090011_1701110597978F03_991,922
2AYS89,011116_1701096113253F01_541,923
43734,090009_1701121389447R05_711,929
LV85798,090014_1701121637751R06_781,919
896RRI,090106_1701104010063F03_771,932
X40578,090012_1701106896895R03_641,921
3AD394,001315_1701093615200R03_148,900
2FWZ73,090005_1701118240376F03_391,932
EMFD,090009_1701120108817R06_361,935
K98RDC,001315_1701114471533R02_120,879
CI585H,090113_1701097983664R01_891,918
W91680,090112_1701110276796F02_041,940
T55838,090110_1701115728720F02_181,927
2FFV88,090107_1701108687416R04_571,939
3KYJ48,090109_1701121447219R05_751,930
8AJ634,090005_1701091075364F03_591,913
184ZX1,001215_1701113437929F03_501,939
1175,090009_1701100663081R04_351,851
5BFW64,090104_1701116348203R03_541,938
2GKN39,090112_1701093197935R02_501,924
3VNM96,090003_1701102963577R02_111,944
RTC697831763,090106_1701115605630R04_341,302
8477ZW,090106_1701120656042R03_451,926
8ARTX6,090008_1701101657906R03_271,919
3VKN94,001315_1701093117300F02_286,913
7PF325,090113_1701114666019R01_081,935
455YZ7,090005_1701095086918F03_031,908
BM08330,090012_1701096426467F04_961,939
3CBL47,090112_1701105677518R04_581,933
3XLZ21,090104_1701112941948F03_951,937
3BF340,090011_1701102655177F04_581,936
58ZC59,090108_1701120375055F03_851,929
2VKT92,090109_1701122320946F04_111,925
5CRD39,001315_1701096174457R02_433,910
2BRV53,090014_1701107171441R06_181,906
1FSS92,090010_1701092709335R03_551,941
3JGR97,001115_1701112046443F04_371,891
1RZ350,090107_1701117091783R03_551,924
3DSH69,090111_1701093900111F04_591,943
3SNF44,090013_1701117670975R03_781,935
2LFW87,090014_1701108783726R05_961,941
5ZE859,090107_1701097439963F03_441,921
CYWX063,090111_1701100804450F04_091,919
BE07282,090013_1701117405374F03_061,929
3JTD44,090010_1701113339587F03_451,936
5CRE99,001015_1701121966957F05_441,932
6TY793,090010_1701090458214F03_701,930
AAX397,090101_1701118694656F02_311,876
136AJ6,001215_1701101826245F03_361,923
3MPB51,090012_1701091976388R02_791,939
AY98941,090109_1701105777505R04_271,916
046E1PU,090110_1701110919265R03_061,854
CWXN844,090103_1701100959997F03_461,924
9NJW60,090010_1701112927066R02_291,907
2JJF69,001315_1701110178180R03_143,912
3PMV64,090009_1701095319034F05_731,921
3PKK34,090112_1701102937165R03_391,929
2WHK96,001015_1701119479595F05_301,932
5BZW84,090011_1701101336856F04_821,946
TWX3170,090110_1701092887444F03_341,901
23FK76,090104_1701090258623R03_011,936
4213574,011016_1701092473634F01_491,879
4FDY34,090012_1701095770539R03_171,934
VNYAHD,090103_1701103839547F03_171,908
4JAH48,090103_1701120288281F02_601,926
922TXH,090110_1701106627754F04_771,926
56000,090011_1701090761373F02_121,947
9YH282,090011_1701104942126F03_511,924
3BHS56,001215_1701090923003R02_161,922
2WED33,090013_1701109983148F04_911,931
3WKD76,090012_1701093624477F04_361,937
2YYR92,090010_1701122397434F03_911,929
PF139671,090105_1701105443708F02_281,890
S16590,001215_1701091462994F03_081,931
MCZ6725,090009_1701090572080R05_611,929
4BXW31,090107_1701121206968R04_431,917
5RVZ39,011016_1701119931896F01_931,933
4HBJ48,001215_1701104962232F03_221,934
2YKA63,090008_1701096471150F03_221,918
2GLY54,090110_1701119179595R03_081,929
AP63846,090003_1701096829911R02_021,939
59N570,001315_1701104298617R02_177,913
5BLM29,090010_1701098205164R02_491,918
3SAG93,090109_1701104070199R04_471,942
3AVW21,090314_1701112601240R02_301,927
T59219,090108_1701113191077R03_031,931
9WL777,090113_1701098180606R02_361,923
2KPA72,090107_1701100059898F04_431,931
KBB2705,090009_1701102363909R05_081,916
2XSC63,011116_1701105767467F01_331,931
9MB599,090109_1701098132289F04_461,804
94791,090113_1701093068616F02_981,929
4FKH25,090114_1701096371750F05_231,941
V65299,090005_1701090628461R03_861,930
5KZ255,090011_1701112564505F04_331,942
4CNK71,001315_1701091146447R03_403,911
S79762,090113_1701090521990F03_031,925
2MFW45,090008_1701109325171R03_531,938
AE91051,090011_1701110636353F03_111,902
BF45070,090001_1701114808790R03_051,936
3RY933,090112_1701108299274F02_081,946
4939681,090012_1701115758670F02_071,903
DC4524,090103_1701121933020R02_471,926
G104402V,090109_1701110209596R02_581,858
109347,001215_1701090295792R03_531,941
8L0A767,090106_1701104630367F04_541,929
3HC341,090109_1701112159824R03_931,938
2LXZ19,090110_1701105386669R04_521,918
X49050,090005_1701122154462F03_311,935
CSPM768,090107_1701094650497R04_251,924
AT39358,090110_1701120479165F03_881,925
LVC1605,090107_1701118313223R04_491,913
3MHR69,001215_1701112915722R03_071,905
4NYJ87,090105_1701109891069R02_551,930
3RCJ77,090101_1701107787937F02_851,936
3LPX17,090111_1701094958829F04_981,940
W36101,090003_1701093992092F02_481,930
BM65152,090009_1701110502429F04_501,921
1DCC39,090002_1701097560231F02_541,935
4MDH97,090112_1701112001777F04_821,924
3JM797,090010_1701098945870R02_791,913
W94930,090013_1701113100160F03_481,935
TIME2FSH,090108_1701090243718R04_081,911
4FL144,001215_1701105304061R02_021,918
X52630,001015_1701100465110R05_111,927
3192C,090110_1701109972040R03_061,934
4CAG71,090012_1701103812004R03_581,941
4NLE97,001315_1701120269930F02_385,902
V62280,090010_1701111994864R03_621,899
2BD752,090113_1701103648227R02_891,944
JNY4383,090012_1701120986456F04_881,910
2BSL57,090007_1701105369573F04_071,945
BJ50559,090114_1701121377831R04_241,936
5SP945,090003_1701114648656R03_491,928
114168,090014_1701116558618F06_571,941
X70659,090104_1701093152988F03_301,940
AH98356,090006_1701091357720F04_601,938
2SML59,001315_1701103728517F03_353,910
82DR18,090113_1701098602709R03_091,871
96S910,001315_1701116216700R02_164,901
61JF73,090013_1701113835456R02_931,926
3GNE59,090111_1701121784435F03_671,933
1VVK76,090114_1701121940170R04_321,927
8HM453,090013_1701110573046R03_911,931
2NYK59,001215_1701100272859F02_691,930
2PGR56,090012_1701110416212F02_471,924
BF61558,090010_1701116671411R04_221,925
V27039,090011_1701113257908F03_501,894
1AA32D,090110_1701099782525F02_141,926
KUE1218,090007_1701092255224F02_811,917
3YKV68,090009_1701119596408R05_381,932
1ZMG75,090113_1701104185150R02_541,943
BG52190,090011_1701102313531R04_881,890
1ZHP79,090113_1701106057173R02_691,936
BL26066,090007_1701092179516F03_491,929
4DCM56,090110_1701112487672R04_021,939
6ZS635,090014_1701106850477R06_351,940
BH54167,090107_1701104774579R04_491,908
3TPY97,090314_1701099298753R02_011,932
1NBJ76,090007_1701092445580F04_431,932
974ZMW,090010_1701105266876F03_161,927
59N570,090012_1701120854231R03_101,938
4DTC16,090013_1701091838569R04_371,924
2GP8,090009_1701094365710R06_561,921
9HT615,090010_1701109268005F02_171,935
W17997,090108_1701114816792F04_111,924
MGM5315,090012_1701116321314R02_411,890
4GKH28,090108_1701121378774F04_691,925
113073,090113_1701117676285F01_071,940
4536404,090104_1701119731537R02_141,927
165E20,090105_1701117553640F02_421,939
1MPS12,001315_1701094256067F02_278,917
2NDJ83,090105_1701111907040F02_521,947
1JAX78,090111_1701117589192R03_251,934
1XSS63,090007_1701094157761R04_281,938
4XGW47,090104_1701116682066R02_321,928
1LA919,090106_1701093747862R02_551,861
3217816,090004_1701111161791F02_301,916
W37705,090108_1701106618707R02_201,941
4SGM39,090007_1701092227365R04_341,920
AP45982,090006_1701091880242R04_471,937
SXN68831,090106_1701111444628R04_941,386
T20408,090314_1701111429756R02_161,935
DME3246,090105_1701116574454F01_071,931
7WE943,090108_1701117212920F04_311,931
NFSU2,090111_1701103771444F04_441,941
3VSL27,090013_1701116269811R03_051,937
KBH7824,090106_1701119568738R04_191,929
AV83748,090111_1701113768183R03_121,923
2WJS43,090104_1701101908798F03_971,921
4PF410,090006_1701104830125F04_431,939
1JXX67,090011_1701103456391R03_841,934
KZN7038,090107_1701107797479R04_851,929
AV77144,090107_1701113348254F04_291,918
4NFT37,090014_1701105099031F06_751,907
AX75377,090106_1701120202758R03_481,918
1SYX34,090013_1701115882140R03_821,935
7AF856,001015_1701108175303R05_221,907
4MJF44,090109_1701116834024F03_521,937
S62289,001315_1701099251170R03_130,852
1FE8940,001315_1701106586530F03_385,799
LGC5300,090111_1701118194128R02_421,947
2EAC40,001315_1701105525793R03_103,899
ETE9889,090109_1701114159428R03_601,909
4CLV47,090007_1701094640046F04_841,935
LYSA,090108_1701114451956F03_371,917
5DPB38,090009_1701098363505F05_851,931
5285025,090004_1701103348242F03_441,925
LV80971,090008_1701095888711F03_581,891
3NMF26,090110_1701091530933R02_601,941
MKZ853,090005_1701112081723R03_471,922
3ZET48,090113_1701108935036F03_291,939
2DEB42,090107_1701107483664F04_781,939
X16680,090009_1701095977804F04_191,934
6GZ213,090107_1701111680026R03_251,945
5BLP18,001315_1701093385357R02_121,902
RE200,090003_1701113754887R03_771,923
1XED22,011116_1701103970165F01_551,924
4VLB67,001015_1701104981895F05_141,938
C347633,090006_1701096096895R03_701,913
2217DA,090011_1701097187397F03_451,879
4SVG58,090108_1701108233568F02_091,932
LV97885,090009_1701099690626F04_371,904
1LGL71,090004_1701096811301R03_501,936
4AXJ25,001315_1701109098500R02_139,930
3PKG56,090012_1701097349773F02_711,944
3CLK22,001015_1701115966973R04_341,931
4CBF64,090104_1701090636150R03_351,938
9242A,090113_1701094879946F02_911,933
JNT081,090102_1701101337161R02_041,915
1TVV45,090011_1701104590453F03_271,932
6LE839,090009_1701097026507R04_461,939
4RFG47,090012_1701090376944F01_861,916
2VZB27,001315_1701105387277F02_276,907
V36497,090103_1701117218270F02_851,931
3STW33,090008_1701100143383R03_341,918
JJC6780,090003_1701092622056R03_461,930
3ZGH11,090106_1701105847496R02_151,943
S49088,090109_1701116591631R03_411,942
PAV9059,090106_1701119921740F02_311,852
MDF9567,090007_1701091750330R04_181,920
1SN926,090110_1701105101402R04_011,936
V30315,001115_1701100781597R04_441,888
BTV878,090109_1701096175414F05_271,919
2EAJ52,090113_1701119887588F03_541,919
FW107L,090113_1701114907070R03_391,897
3BAW42,090006_1701109452216F04_851,937
4CZH17,001215_1701105353626F02_411,935
M33860,090013_1701105369397F03_841,938
3PGG79,090011_1701100798561F04_441,931
9CS644,001015_1701112962142F05_941,937
2PZ328,090010_1701117396174R03_271,924
1KXP83,090011_1701095146914F04_361,932
JDU6679,090007_1701116323195R04_571,925
113764,090314_1701090002842F02_781,944
2RTM48,011016_1701117720786R02_691,921
142890,090007_1701120883741F03_791,913
2GAS51,001315_1701118695097F02_397,886
2984259,090014_1701091164015R05_241,919
3PWZ85,090009_1701105764518R05_731,940
3786374,011016_1701111483197F01_811,935
8ER4023,090112_1701094057918R03_511,894
1NNC33,090006_1701100675325F04_221,936
92GF07,090012_1701120257961F02_281,886
MNG0,090009_1701111432979R06_071,898
3CB694,090014_1701101785367F05_831,933
1RTG58,090112_1701107302786F02_901,945
3MFE97,090109_1701118589827F03_931,928
6NH767,090006_1701111640272F04_311,932
4HZR81,090012_1701121672637F03_041,920
TF9J6L,090110_1701115742065F04_041,941
5SEP29,090104_1701096224604R03_531,932
3APS31,090003_1701109218278R03_201,948
00VGZZ,090004_1701091562152F02_831,931
894RB9,090113_1701097020725R04_651,918
4SMJ94,090013_1701095115838F04_021,904
4MD374,090113_1701113261175R04_191,924
5300836,090111_1701096594041R03_741,931
56GP68,001315_1701098816300R02_103,893
36RF50,090004_1701114587094R02_371,619
9AUSF3,090108_1701097817322R02_281,936
ZPP8159,090010_1701111081769R03_971,877
5PTA58,090010_1701096335392R03_861,876
HDA7G62,090006_1701100703812F03_721,278
5203027,090009_1701095620022F03_721,915
BA25760,090106_1701118669139R04_851,944
86H480,001215_1701120413674F03_201,937
NFSU2,090011_1701110249059R02_291,924
5MB969,090011_1701091588161R04_321,918
1KZ862,090214_1701108190382R02_151,908
BF52710,090106_1701104137938R04_871,919
5EPA27,090009_1701095890424F04_821,929
4699692,001315_1701100603343F02_201,888
W66443,090007_1701101131612F02_221,938
X96RNE,090006_1701120523453F02_821,934
34BSXK,090112_1701102658843R03_971,928
2SXW75,090013_1701120823600R03_411,920
3HVG15,090013_1701106482573R04_081,922
3,090109_1701098721636R05_001,504
X46529,090010_1701103930555F02_391,935
2XAG96,090014_1701090211190F05_071,929
BD18309,090006_1701106290764R02_211,928
AM95970,090101_1701104039595R03_091,930
PF187502,090109_1701112071282F04_431,898
T43MBX,090008_1701117414987F02_991,927
4SVY27,090014_1701094147751R05_291,932
X38655,090003_1701109172445F03_741,942
4PT677,001215_1701105496052F02_801,932
M9754A,090007_1701092838573F02_831,259
2NKF46,090014_1701099042849F06_731,934
4DYM75,090008_1701091832963F04_701,926
4CPE95,090013_1701100093562R04_701,914
1VBX62,090113_1701095938539R02_651,912
2XD945,090107_1701107147071F04_421,938
DH3,090113_1701103637635F03_331,944
00923J2,001215_1701099664388R03_461,924
4FLJ54,090101_1701090671798F02_641,897
EB070H,001215_1701100697089R03_641,905
2JLM82,001115_1701112973710R04_493,914
BF89830,090007_1701108469188F04_331,938
8VMB70,090004_1701106043096F03_001,936
5FG7889,090006_1701117886493F03_181,902
43527,001315_1701122218200F03_309,916
3YTG49,090112_1701097593857F03_451,910
4TAM41,001215_1701107885622F03_941,936
FW107L,090013_1701103364984R02_231,891
4FCH27,001215_1701110147194R03_301,932
LAZ8636,090010_1701116559371R02_881,912
4AMR55,001315_1701106809903R02_161,924
LVB2502,090112_1701107969837R01_831,923
5VX548,090104_1701102027514R03_831,924
X48925,090013_1701098146343F03_181,913
23,090110_1701090337699F04_701,333
3VKN35,090008_1701122351919R03_371,942
949SN6,090014_1701090096031F05_701,934
345M,090106_1701099874204R04_481,884
617GAF,090106_1701104634114F04_571,879
KAG8013,090101_1701120913932R02_421,923
2GVS37,090007_1701094525924R02_501,929
4YKG8,090109_1701110116186F05_261,923
PTICUD00,001115_1701121306020F04_216,331
32EX82,090111_1701101645665F04_041,932
KEL,090214_1701093407686R02_701,946
6DDY30,090106_1701109517220R04_831,938
APA20440,090010_1701105468926F03_951,251
1SNZ68,090007_1701110559207R02_911,896
MCL4643,001215_1701113615633R02_561,937
4FZ931,090113_1701105217569F03_091,915
3JPW14,090106_1701107297670F03_261,928
111476,090114_1701111082445R04_321,946
44AN12,090013_1701117543577F02_301,934
4DFK38,090011_1701104073188R03_461,906
BC18513,090113_1701095395112F01_081,905
5NTH29,001315_1701119776177F02_204,907
108299,001215_1701115042408R02_141,923
TPF6292,090106_1701112819608F03_841,923
JAIH43,090004_1701102150980R02_781,920
3MPL85,001015_1701121406282R05_351,940
20852,090013_1701091586094R04_071,933
X89794,090106_1701114390108F02_001,929
JWA5551,090108_1701096715116R03_211,901
2808287,090103_1701109494324F02_511,791
4NZL49,090009_1701090289016R04_101,936
JH3S2W,090006_1701114439259R04_341,916
3LWD16,090110_1701107986949F04_381,923
AS15509,090004_1701096880327R03_681,913
FTT9640,090006_1701110034624F03_381,929
EVJT35,090108_1701096997750F03_251,912
55JV84,090110_1701101951002R04_491,931
C273379,090012_1701102132075F03_731,919
XDB31,090012_1701102051215R04_731,911
1CRH11,001315_1701098589130R03_135,878
1DX550,090104_1701092681531R02_981,906
3SN583,090110_1701091745260F04_271,919
2WSF15,090113_1701105902403F04_701,942
5NKY99,011116_1701115542664R01_321,933
1ZWR58,090106_1701108766324R03_461,937
AL83934,090214_1701095556544F02_631,918
1BHM24,090013_1701102412193F02_261,937
3PT500,001015_1701112325454R05_261,923
JNY4383,090012_1701120987074R04_681,921
V46906,001215_1701098163552F03_091,943
1XPH65,090113_1701101295593R03_371,930
3VFJ81,090111_1701099683323F04_271,914
9SP347,090112_1701097210691R02_291,898
2AJG14,090009_1701097550265F03_491,927
EV18TX,090114_1701104054572F05_401,890
2RJM59,090006_1701110889059R03_931,925
017E1PU,090001_1701094236228R02_501,902
X10932,090011_1701111426031R03_471,923
LVA6779,001315_1701096204613F03_219,892
V80879,090105_1701119041371R01_051,914
K99197,090012_1701106458818R02_521,878
19136,090112_1701115239718F04_631,919
2MJA55,090011_1701106127510R02_951,946
61RG73,090104_1701099825539R02_371,908
459WL5,090105_1701115745933F01_121,928
BT01JE,090006_1701091763440R03_131,919
37967,090009_1701093174543F06_331,903
2NRR23,090006_1701114582117R02_271,945
4SCY44,090013_1701093167752R04_101,930
4LMG64,090010_1701117203678R04_351,935
8416R0,090102_1701115979461F02_231,895
3ALZ48,090005_1701090448333F02_661,915
BG98211,090106_1701121941152F04_081,918
14KK45,090004_1701106618810R02_401,933
5TTP19,090110_1701093616512F04_851,927
4LLC55,001215_1701099988920F03_241,938
5HH816,090010_1701093789016R03_461,935
W71785,090109_1701114444396F03_431,924
LNA9861,090104_1701116064604R03_831,919
414G70,090014_1701103567029F06_311,940
5JAC19,090108_1701118461746R03_341,942
5262655,090013_1701106529261F03_371,915
3NH922,090011_1701120817377R03_151,937
PR07,090214_1701106264381R02_961,923
781WZV,090314_1701099750556R01_331,539
8YC124,090012_1701110013210F03_841,938
